PANTONENAME,UNIQUECODE,R,G,B
PANTONE 100 C,10001,246,235,100
PANTONE 101 C,10002,246,235,76
PANTONE 10101 C,10003,212,212,212
PANTONE 10102 C,10004,194,200,198
PANTONE 10103 C,10005,185,188,187
PANTONE 10104 C,10006,173,177,180
PANTONE 10105 C,10007,171,174,176
PANTONE 10106 C,10008,171,171,119
PANTONE 10107 C,10009,172,172,99
PANTONE 10108 C,10010,174,171,81
PANTONE 10109 C,10011,176,171,63
PANTONE 10110 C,10012,182,170,39
PANTONE 10111 C,10013,192,178,8
PANTONE 10112 C,10014,169,171,137
PANTONE 10113 C,10015,170,168,111
PANTONE 10114 C,10016,171,168,93
PANTONE 10115 C,10017,177,167,77
PANTONE 10116 C,10018,181,166,56
PANTONE 10117 C,10019,185,165,33
PANTONE 10118 C,10020,172,164,110
PANTONE 10119 C,10021,178,162,93
PANTONE 10120 C,10022,181,158,75
PANTONE 10121 C,10023,183,154,54
PANTONE 10122 C,10024,192,151,36
PANTONE 10123 C,10025,199,148,5
PANTONE 10124 C,10026,172,163,119
PANTONE 10125 C,10027,169,158,99
PANTONE 10126 C,10028,169,151,81
PANTONE 10127 C,10029,172,147,69
PANTONE 10128 C,10030,179,141,52
PANTONE 10129 C,10031,185,134,40
PANTONE 10130 C,10032,175,144,113
PANTONE 10131 C,10033,175,133,93
PANTONE 10132 C,10034,176,126,78
PANTONE 10133 C,10035,170,113,59
PANTONE 10134 C,10036,168,106,48
PANTONE 10135 C,10037,164,96,33
PANTONE 10136 C,10038,171,155,136
PANTONE 10137 C,10039,174,144,117
PANTONE 10138 C,10040,172,130,96
PANTONE 10139 C,10041,168,121,78
PANTONE 10140 C,10042,169,113,66
PANTONE 10141 C,10043,161,102,52
PANTONE 10142 C,10044,181,142,108
PANTONE 10143 C,10045,185,133,90
PANTONE 10144 C,10046,189,123,73
PANTONE 10145 C,10047,195,116,58
PANTONE 10146 C,10048,196,107,41
PANTONE 10147 C,10049,200,99,24
PANTONE 10148 C,10050,184,135,123
PANTONE 10149 C,10051,186,123,108
PANTONE 10150 C,10052,189,109,88
PANTONE 10151 C,10053,190,100,72
PANTONE 10152 C,10054,196,92,57
PANTONE 10153 C,10055,200,83,44
PANTONE 10154 C,10056,173,150,145
PANTONE 10155 C,10057,176,135,124
PANTONE 10156 C,10058,176,119,109
PANTONE 10157 C,10059,174,105,91
PANTONE 10158 C,10060,174,92,78
PANTONE 10159 C,10061,177,81,67
PANTONE 10160 C,10062,183,125,143
PANTONE 10161 C,10063,186,112,131
PANTONE 10162 C,10064,189,97,118
PANTONE 10163 C,10065,188,84,101
PANTONE 10164 C,10066,192,76,89
PANTONE 10165 C,10067,198,65,74
PANTONE 10166 C,10068,178,123,149
PANTONE 10167 C,10069,178,107,139
PANTONE 10168 C,10070,181,93,125
PANTONE 10169 C,10071,178,76,113
PANTONE 10170 C,10072,180,64,101
PANTONE 10171 C,10073,183,48,87
PANTONE 10172 C,10074,164,125,157
PANTONE 10173 C,10075,164,109,150
PANTONE 10174 C,10076,165,96,140
PANTONE 10175 C,10077,162,81,132
PANTONE 10176 C,10078,167,67,122
PANTONE 10177 C,10079,171,51,113
PANTONE 10178 C,10080,175,139,165
PANTONE 10179 C,10081,174,124,158
PANTONE 10180 C,10082,173,113,152
PANTONE 10181 C,10083,174,100,144
PANTONE 10182 C,10084,175,85,137
PANTONE 10183 C,10085,181,70,128
PANTONE 10184 C,10086,171,144,171
PANTONE 10185 C,10087,171,132,168
PANTONE 10186 C,10088,171,117,161
PANTONE 10187 C,10089,172,104,157
PANTONE 10188 C,10090,176,92,153
PANTONE 10189 C,10091,176,77,147
PANTONE 10190 C,10092,157,150,160
PANTONE 10191 C,10093,149,135,148
PANTONE 10192 C,10094,141,121,135
PANTONE 10193 C,10095,131,107,123
PANTONE 10194 C,10096,118,91,111
PANTONE 10195 C,10097,109,78,96
PANTONE 10196 C,10098,162,144,168
PANTONE 10197 C,10099,161,126,158
PANTONE 10198 C,10100,157,108,150
PANTONE 10199 C,10101,150,92,139
PANTONE 102 C,10102,250,227,12
PANTONE 10200 C,10103,152,78,133
PANTONE 10201 C,10104,147,64,122
PANTONE 10202 C,10105,156,128,162
PANTONE 10203 C,10106,149,108,149
PANTONE 10204 C,10107,142,96,141
PANTONE 10205 C,10108,134,81,131
PANTONE 10206 C,10109,131,70,125
PANTONE 10207 C,10110,123,53,114
PANTONE 10208 C,10111,161,140,169
PANTONE 10209 C,10112,156,123,164
PANTONE 10210 C,10113,150,110,159
PANTONE 10211 C,10114,147,96,155
PANTONE 10212 C,10115,144,85,151
PANTONE 10213 C,10116,135,68,144
PANTONE 10214 C,10117,144,124,165
PANTONE 10215 C,10118,133,109,164
PANTONE 10216 C,10119,121,95,159
PANTONE 10217 C,10120,110,77,151
PANTONE 10218 C,10121,99,62,146
PANTONE 10219 C,10122,86,45,137
PANTONE 10220 C,10123,153,147,171
PANTONE 10221 C,10124,146,135,166
PANTONE 10222 C,10125,136,123,162
PANTONE 10223 C,10126,128,111,162
PANTONE 10224 C,10127,122,99,158
PANTONE 10225 C,10128,113,87,154
PANTONE 10226 C,10129,150,147,173
PANTONE 10227 C,10130,139,137,167
PANTONE 10228 C,10131,134,127,166
PANTONE 10229 C,10132,121,114,162
PANTONE 10230 C,10133,111,103,158
PANTONE 10231 C,10134,98,89,155
PANTONE 10232 C,10135,130,129,163
PANTONE 10233 C,10136,116,116,156
PANTONE 10234 C,10137,104,99,149
PANTONE 10235 C,10138,91,86,143
PANTONE 10236 C,10139,82,72,136
PANTONE 10237 C,10140,84,78,140
PANTONE 10238 C,10141,135,138,169
PANTONE 10239 C,10142,123,126,172
